06.06.2025                                                                                  Dynamic List Display                                                                                                                                           1


	/BIC/MD_CUS	OBJVERS	CHANGED	/BIC/MD_C_ALT	/BIC/MD_EM_BD	/BIC/MD_CU_MS	/BIC/MD_EM_GN	/BIC/MD_EM_EM	/BIC/MD_CU_YI	/BIC/MD_CU_ED	/BIC/MD_CU_OC	/BIC/MD_CU_HO	/BIC/MD_CU_NC	/BIC/MD_AD	/BIC/MD_PH

	      00000	A							       0,000			        00000	           0
	      11000	A		AW00011000	08.04.1966	M	M	JON24@ADVENTURE-WORKS.COM	  90.000,000	BACHELORS	PROFESSIONAL	        00001	           0	3761 N. 14TH ST	1 (11) 500 555-0162
	      11001	A		AW00011001	14.05.1965	S	M	EUGENE10@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00000	           1	2243 W ST.	1 (11) 500 555-0110
	      11002	A		AW00011002	12.08.1965	M	M	RUBEN35@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           1	5844 LINDEN LAND	1 (11) 500 555-0184
	      11003	A		AW00011003	15.02.1968	S	F	CHRISTY12@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           1	1825 VILLAGE PL.	1 (11) 500 555-0162
	      11004	A		AW00011004	08.08.1968	S	F	ELIZABETH5@ADVENTURE-WORKS.COM	  80.000,000	BACHELORS	PROFESSIONAL	        00001	           4	7553 HARNESS CIRCLE	1 (11) 500 555-0131
	      11005	A		AW00011005	05.08.1965	S	M	JULIO1@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00001	           1	7305 HUMPHREY DRIVE	1 (11) 500 555-0151
	      11006	A		AW00011006	06.12.1965	S	F	JANET9@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00001	           1	2612 BERRY DR	1 (11) 500 555-0184
	      11007	A		AW00011007	09.05.1964	M	M	MARCO14@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           2	942 BROOK STREET	1 (11) 500 555-0126
	      11008	A		AW00011008	07.07.1964	S	F	ROB4@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           3	624 PEABODY ROAD	1 (11) 500 555-0164
	      11009	A		AW00011009	01.04.1964	S	M	SHANNON38@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           1	3839 NORTHGATE ROAD	1 (11) 500 555-0110
	      11010	A		AW00011010	06.02.1964	S	F	JACQUELYN20@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           1	7800 CORRINNE COURT	1 (11) 500 555-0169
	      11011	A		AW00011011	04.11.1963	M	M	CURTIS9@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           4	1224 SHOENIC	1 (11) 500 555-0117
	      11012	A		AW00011012	18.01.1968	M	F	LAUREN41@ADVENTURE-WORKS.COM	 100.000,000	BACHELORS	MANAGEMENT	        00001	           2	4785 SCOTT STREET	717-555-0164
	      11013	A		AW00011013	06.08.1968	M	M	IAN47@ADVENTURE-WORKS.COM	 100.000,000	BACHELORS	MANAGEMENT	        00001	           3	7902 HUDSON AVE.	817-555-0185
	      11014	A		AW00011014	09.05.1968	S	F	SYDNEY23@ADVENTURE-WORKS.COM	 100.000,000	BACHELORS	MANAGEMENT	        00000	           3	9011 TANK DRIVE	431-555-0156
	      11015	A		AW00011015	27.02.1979	S	F	CHLOE23@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00000	           1	244 WILLOW PASS ROAD	208-555-0142
	      11016	A		AW00011016	28.04.1979	M	M	WYATT32@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	9666 NORTHRIDGE CT.	135-555-0171
	      11017	A		AW00011017	26.06.1944	S	F	SHANNON1@ADVENTURE-WORKS.COM	  20.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	7330 SADDLEHILL LANE	1 (11) 500 555-0195
	      11018	A		AW00011018	09.10.1944	S	M	CLARENCE32@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	244 RIVEWVIEW	1 (11) 500 555-0137
	      11019	A		AW00011019	07.03.1978	S	M	LUKE18@ADVENTURE-WORKS.COM	  40.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	7832 LANDING DR	262-555-0112
	      11020	A		AW00011020	20.09.1978	S	M	JORDAN73@ADVENTURE-WORKS.COM	  40.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	7156 ROSE DR.	550-555-0163
	      11021	A		AW00011021	03.09.1978	S	F	DESTINY7@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00000	           1	8148 W. LAKE DR.	622-555-0158
	      11022	A		AW00011022	12.10.1978	M	M	ETHAN20@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	1769 NICHOLAS DRIVE	589-555-0185
	      11023	A		AW00011023	11.10.1978	M	M	SETH46@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	4499 VALLEY CREST	452-555-0188
	      11024	A		AW00011024	17.09.1978	M	M	RUSSELL7@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	8734 OXFORD PLACE	746-555-0186
	      11025	A		AW00011025	23.12.1945	M	M	ALEJANDRO45@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00001	           2	2596 FRANKLIN CANYON ROAD	1 (11) 500 555-0178
	      11026	A		AW00011026	03.04.1946	S	M	HAROLD3@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00000	           2	8211 LEEDS CT.	1 (11) 500 555-0131
	      11027	A		AW00011027	07.12.1946	M	M	JESSIE16@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	213 VALENCIA PLACE	1 (11) 500 555-0184
	      11028	A		AW00011028	11.04.1946	M	F	JILL13@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	9111 ROSE ANN AVE	1 (11) 500 555-0116
	      11029	A		AW00011029	21.12.1946	M	M	JIMMY9@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	6385 MARK TWAIN	1 (11) 500 555-0146
	      11030	A		AW00011030	22.02.1947	M	F	BETHANY10@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00001	           2	636 VINE HILL WAY	1 (11) 500 555-0182
	      11031	A		AW00011031	22.08.1947	M	F	THERESA13@ADVENTURE-WORKS.COM	  20.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	6465 DETROIT AVE.	1 (11) 500 555-0195
