06.06.2025                                                            Dynamic List Display                                                                                                                      1


	/BIC/MD_EMP	OBJVERS	CHANGED	/BIC/MD_EMP_P	/BIC/MD_EM_SN	/BIC/MD_EM_PS	/BIC/MD_EM_SD	/BIC/MD_EM_BD	/BIC/MD_EM_EM	/BIC/MD_PH	/BIC/MD_EM_GN	/BIC/MD_DP_GR

	       0000	A		         0000	    000000000							           00
	       0001	A		         0018	    014417807	PRODUCTION TECHNICIAN - WC60	31.07.2000	15.05.1976	GUY1@ADVENTURE-WORKS.COM	320-555-0195	M	           01
	       0002	A		         0007	    253022876	MARKETING ASSISTANT	26.02.2001	03.06.1981	KEVIN0@ADVENTURE-WORKS.COM	150-555-0189	M	           02
	       0003	A		         0014	    509647174	ENGINEERING MANAGER	12.12.2001	13.12.1968	ROBERTO0@ADVENTURE-WORKS.COM	212-555-0187	M	           02
	       0004	A		         0003	    112457891	SENIOR TOOL DESIGNER	05.01.2002	23.01.1969	ROB0@ADVENTURE-WORKS.COM	612-555-0100	M	           02
	       0005	A		         0003	    112457891	SENIOR TOOL DESIGNER	05.01.2002	23.01.1969	ROB0@ADVENTURE-WORKS.COM	612-555-0100	M	           02
	       0006	A		         0267	    480168528	TOOL DESIGNER	11.01.2002	29.08.1953	THIERRY0@ADVENTURE-WORKS.COM	168-555-0183	M	           02
	       0007	A		         0112	    024756624	MARKETING MANAGER	20.01.2002	19.04.1969	DAVID0@ADVENTURE-WORKS.COM	913-555-0172	M	           02
	       0008	A		         0112	    024756624	MARKETING MANAGER	20.01.2002	19.04.1969	DAVID0@ADVENTURE-WORKS.COM	913-555-0172	M	           02
	       0009	A		         0023	    309738752	PRODUCTION SUPERVISOR - WC60	26.01.2002	16.02.1950	JOLYNN0@ADVENTURE-WORKS.COM	903-555-0145	F	           02
	       0010	A		         0189	    690627818	PRODUCTION TECHNICIAN - WC10	06.02.2002	06.07.1950	RUTH0@ADVENTURE-WORKS.COM	145-555-0130	F	           01
	       0011	A		         0003	    695256908	DESIGN ENGINEER	06.02.2002	29.10.1946	GAIL0@ADVENTURE-WORKS.COM	849-555-0139	F	           02
	       0012	A		         0189	    912265825	PRODUCTION TECHNICIAN - WC10	07.02.2002	27.04.1950	BARRY0@ADVENTURE-WORKS.COM	206-555-0180	M	           01
	       0013	A		         0003	    998320692	DESIGN ENGINEER	24.02.2002	11.04.1953	JOSSEF0@ADVENTURE-WORKS.COM	122-555-0189	M	           02
	       0014	A		         0112	    245797967	VICE PRESIDENT OF ENGINEERING	03.03.2002	01.09.1965	TERRI0@ADVENTURE-WORKS.COM	819-555-0175	F	           02
	       0015	A		         0189	    844973625	PRODUCTION TECHNICIAN - WC10	05.03.2002	01.10.1950	SIDNEY0@ADVENTURE-WORKS.COM	424-555-0189	M	           01
	       0016	A		         0023	    233069302	PRODUCTION SUPERVISOR - WC50	11.03.2002	03.05.1950	TAYLOR0@ADVENTURE-WORKS.COM	508-555-0165	M	           02
	       0017	A		         0189	    132674823	PRODUCTION TECHNICIAN - WC10	23.03.2002	12.08.1950	JEFFREY0@ADVENTURE-WORKS.COM	984-555-0185	M	           01
	       0018	A		         0023	    446466105	PRODUCTION SUPERVISOR - WC60	30.03.2002	09.11.1950	JO0@ADVENTURE-WORKS.COM	632-555-0129	F	           02
	       0019	A		         0189	    565090917	PRODUCTION TECHNICIAN - WC10	11.04.2002	06.05.1950	DORIS0@ADVENTURE-WORKS.COM	328-555-0150	F	           01
	       0020	A		         0023	    494170342	PRODUCTION SUPERVISOR - WC60	18.04.2002	08.09.1950	JOHN0@ADVENTURE-WORKS.COM	435-555-0113	M	           02
	       0021	A		         0189	    009659517	PRODUCTION TECHNICIAN - WC10	29.04.2002	30.04.1950	DIANE0@ADVENTURE-WORKS.COM	202-555-0151	F	           01
	       0022	A		         0177	    443968955	PRODUCTION TECHNICIAN - WC30	02.01.2003	15.06.1971	STEVEN0@ADVENTURE-WORKS.COM	925-555-0114	M	           01
	       0023	A		         0112	    277173473	PRODUCTION CONTROL MANAGER	02.01.2003	04.12.1976	PETER0@ADVENTURE-WORKS.COM	913-555-0196	M	           02
	       0024	A		         0201	    835460180	PRODUCTION TECHNICIAN - WC45	03.01.2003	14.10.1956	STUART0@ADVENTURE-WORKS.COM	413-555-0136	M	           01
	       0025	A		         0201	    687685941	PRODUCTION TECHNICIAN - WC45	03.01.2003	18.11.1964	GREG0@ADVENTURE-WORKS.COM	332-555-0150	M	           01
	       0026	A		         0188	    498138869	PRODUCTION TECHNICIAN - WC30	03.01.2003	03.12.1973	DAVID1@ADVENTURE-WORKS.COM	166-555-0162	M	           01
	       0027	A		         0023	    360868122	PRODUCTION SUPERVISOR - WC10	04.01.2003	26.11.1977	ZHENG0@ADVENTURE-WORKS.COM	113-555-0173	M	           02
	       0028	A		         0111	    964089218	PRODUCTION TECHNICIAN - WC20	05.01.2003	04.02.1976	IVO0@ADVENTURE-WORKS.COM	115-555-0179	M	           01
	       0029	A		         0089	    384162788	PRODUCTION TECHNICIAN - WC40	05.01.2003	15.12.1974	PAUL0@ADVENTURE-WORKS.COM	147-555-0160	M	           01
	       0030	A		         0154	    749389530	NETWORK ADMINISTRATOR	05.01.2003	28.04.1971	ASHVINI0@ADVENTURE-WORKS.COM	656-555-0119	M	           02
	       0031	A		         0016	    571658797	PRODUCTION TECHNICIAN - WC50	06.01.2003	30.06.1980	KENDALL0@ADVENTURE-WORKS.COM	138-555-0128	M	           01
	       0032	A		         0143	    535145551	HUMAN RESOURCES MANAGER	07.01.2003	14.03.1970	PAULA0@ADVENTURE-WORKS.COM	523-555-0175	F	           02
	       0033	A		         0214	    761597760	PRODUCTION TECHNICIAN - WC40	07.01.2003	06.01.1983	ALEJANDRO0@ADVENTURE-WORKS.COM	668-555-0130	M	           01
	       0034	A		         0188	    271438431	PRODUCTION TECHNICIAN - WC30	08.01.2003	26.09.1978	GARRETT0@ADVENTURE-WORKS.COM	609-555-0179	M	           01
	       0035	A		         0138	    160739235	PRODUCTION TECHNICIAN - WC30	08.01.2003	27.08.1977	JIANSHUO0@ADVENTURE-WORKS.COM	952-555-0178	M	           01
	       0036	A		         0087	    586486572	STOCKER	08.01.2003	20.03.1972	SUSAN0@ADVENTURE-WORKS.COM	943-555-0196	F	           01
	       0037	A		         0087	    337752649	SHIPPING AND RECEIVING CLERK	08.01.2003	19.04.1971	VAMSI0@ADVENTURE-WORKS.COM	937-555-0137	M	           02
	       0038	A		         0040	    113695504	PRODUCTION TECHNICIAN - WC50	08.01.2003	27.02.1972	ALICE0@ADVENTURE-WORKS.COM	333-555-0173	F	           01
	       0039	A		         0009	    276751903	PRODUCTION TECHNICIAN - WC60	09.01.2003	17.06.1984	SIMON0@ADVENTURE-WORKS.COM	963-555-0134	M	           01
	       0040	A		         0023	    630184120	PRODUCTION SUPERVISOR - WC50	09.01.2003	09.03.1983	JINGHAO0@ADVENTURE-WORKS.COM	794-555-0159	M	           02
	       0041	A		         0186	    545337468	PRODUCTION TECHNICIAN - WC20	10.01.2003	19.12.1978	MICHAEL0@ADVENTURE-WORKS.COM	218-555-0126	M	           01
	       0042	A		         0163	    713403643	PRODUCTION TECHNICIAN - WC45	10.01.2003	17.05.1983	YVONNE0@ADVENTURE-WORKS.COM	286-555-0189	F	           01
	       0043	A		         0204	    885055826	QUALITY ASSURANCE SUPERVISOR	10.01.2003	19.04.1970	PENG0@ADVENTURE-WORKS.COM	164-555-0164	M	           02
	       0044	A		         0112	    441044382	INFORMATION SERVICES MANAGER	12.01.2003	13.01.1970	JEAN0@ADVENTURE-WORKS.COM	685-555-0120	F	           02
	       0045	A		         0076	    718299860	PRODUCTION TECHNICIAN - WC50	13.01.2003	27.12.1966	RUSSELL0@ADVENTURE-WORKS.COM	786-555-0144	M	           01
	       0046	A		         0023	    685233686	MASTER SCHEDULER	13.01.2003	19.10.1962	ASCOTT0@ADVENTURE-WORKS.COM	992-555-0194	M	           02
	       0047	A		         0214	    295971920	PRODUCTION TECHNICIAN - WC40	13.01.2003	27.07.1983	FRED0@ADVENTURE-WORKS.COM	818-555-0192	M	           01
	       0048	A		         0007	    095958330	MARKETING SPECIALIST	13.01.2003	21.06.1981	SARIYA0@ADVENTURE-WORKS.COM	399-555-0176	M	           02
	       0049	A		         0032	    332040978	RECRUITER	14.01.2003	18.08.1972	WILLIS0@ADVENTURE-WORKS.COM	778-555-0141	M	           02
	       0050	A		         0040	    857651804	PRODUCTION TECHNICIAN - WC50	15.01.2003	06.08.1973	JUN0@ADVENTURE-WORKS.COM	299-555-0113	M	           01
	       0051	A		         0222	    553069203	MAINTENANCE SUPERVISOR	15.01.2003	18.02.1970	CHRISTIAN0@ADVENTURE-WORKS.COM	846-555-0157	M	           02
	       0052	A		         0188	    351069889	PRODUCTION TECHNICIAN - WC30	15.01.2003	03.05.1977	SUSAN1@ADVENTURE-WORKS.COM	639-555-0164	F	           01
	       0053	A		         0023	    370989364	PRODUCTION SUPERVISOR - WC40	16.01.2003	27.09.1981	REUBEN0@ADVENTURE-WORKS.COM	191-555-0112	M	           02
	       0054	A		         0126	    275962311	PRODUCTION TECHNICIAN - WC45	16.01.2003	10.03.1979	KIRK0@ADVENTURE-WORKS.COM	669-555-0150	M	           01
	       0055	A		         0020	    036151748	PRODUCTION TECHNICIAN - WC60	16.01.2003	30.01.1979	DAVID2@ADVENTURE-WORKS.COM	712-555-0119	M	           01
	       0056	A		         0092	    540688287	CONTROL SPECIALIST	17.01.2003	29.05.1984	TENGIZ0@ADVENTURE-WORKS.COM	910-555-0116	M	           02
	       0057	A		         0147	    568596888	PRODUCTION TECHNICIAN - WC20	17.01.2003	16.11.1968	HANYING0@ADVENTURE-WORKS.COM	319-555-0139	M	           01
	       0058	A		         0214	    918737118	PRODUCTION TECHNICIAN - WC40	18.01.2003	26.01.1980	KEVIN1@ADVENTURE-WORKS.COM	714-555-0138	M	           01
	       0059	A		         0018	    801758002	PRODUCTION TECHNICIAN - WC60	18.01.2003	27.01.1971	ANNIK0@ADVENTURE-WORKS.COM	499-555-0125	M	           01
	       0060	A		         0040	    415823523	PRODUCTION TECHNICIAN - WC50	18.01.2003	28.03.1972	SUROOR0@ADVENTURE-WORKS.COM	932-555-0161	M	           01
	       0061	A		         0142	    363923697	ACCOUNTS RECEIVABLE SPECIALIST	19.01.2003	07.04.1970	DEBORAH0@ADVENTURE-WORKS.COM	602-555-0194	F	           02
	       0062	A		         0076	    674171828	PRODUCTION TECHNICIAN - WC50	20.01.2003	09.10.1980	JIM0@ADVENTURE-WORKS.COM	679-555-0113	M	           01
	       0063	A		         0177	    138280935	PRODUCTION TECHNICIAN - WC30	20.01.2003	19.11.1977	CAROLE0@ADVENTURE-WORKS.COM	688-555-0192	F	           01
	       0064	A		         0188	    476115505	PRODUCTION TECHNICIAN - WC30	22.01.2003	18.05.1971	GEORGE0@ADVENTURE-WORKS.COM	518-555-0199	M	           01
	       0065	A		         0089	    502058701	PRODUCTION TECHNICIAN - WC40	23.01.2003	17.06.1982	GARY0@ADVENTURE-WORKS.COM	901-555-0125	M	           01
	       0066	A		         0023	    007201901	PRODUCTION SUPERVISOR - WC10	23.01.2003	13.05.1978	CRISTIAN0@ADVENTURE-WORKS.COM	434-555-0133	M	           02
	       0067	A		         0147	    097728960	PRODUCTION TECHNICIAN - WC20	24.01.2003	02.04.1961	RAYMOND0@ADVENTURE-WORKS.COM	226-555-0197	M	           01
	       0068	A		         0044	    525932996	APPLICATION SPECIALIST	24.01.2003	03.03.1979	JANAINA0@ADVENTURE-WORKS.COM	623-555-0155	F	           02
	       0069	A		         0016	    843479922	PRODUCTION TECHNICIAN - WC50	25.01.2003	16.09.1973	BOB0@ADVENTURE-WORKS.COM	611-555-0116	M	           01
	       0070	A		         0214	    370487086	PRODUCTION TECHNICIAN - WC40	25.01.2003	05.11.1974	SHAMMI0@ADVENTURE-WORKS.COM	793-555-0179	M	           01
	       0071	A		         0040	    054759846	PRODUCTION TECHNICIAN - WC50	26.01.2003	17.08.1981	LINDA0@ADVENTURE-WORKS.COM	612-555-0171	F	           01
	       0072	A		         0032	    619308550	BENEFITS SPECIALIST	26.01.2003	22.12.1978	MINDY0@ADVENTURE-WORKS.COM	522-555-0147	F	           02
